i,target,point,point2,pair
166,0.223333,0.479088,0.391715,0.501404
167,0.225000,0.466950,0.377415,0.375183
168,0.225000,0.570123,0.554604,0.680598
169,0.225000,0.376898,0.249150,0.288939
170,0.225000,0.510690,0.314943,0.493789
171,0.226667,0.669583,0.566037,0.709465
172,0.228333,0.542712,0.556776,0.654541
173,0.230000,0.354826,0.297413,0.266629
174,0.230000,0.555809,0.310324,0.497110
175,0.230000,0.502649,0.350548,0.440275
176,0.230000,0.496880,0.389751,0.433393
177,0.230000,0.659599,0.638629,0.693848
178,0.231667,0.363792,0.309228,0.271454
179,0.231667,0.456481,0.376644,0.426906
180,0.233333,0.450551,0.270648,0.384228
181,0.233333,0.416495,0.220878,0.353699
182,0.235000,0.379575,0.201354,0.335102
183,0.235000,0.556879,0.613599,0.507696
184,0.235000,0.305766,0.062698,0.123504
185,0.236667,0.355802,0.359995,0.158222
186,0.236667,0.498920,0.396249,0.501789
187,0.238333,0.489268,0.613473,0.491765
188,0.240000,0.431321,0.328501,0.355692
189,0.240000,0.498421,0.342187,0.448136
190,0.240000,0.493608,0.426261,0.485369
191,0.241667,0.676654,0.489162,0.745041
192,0.241667,0.571138,0.571805,0.701332
193,0.243333,0.571297,0.552711,0.666241
194,0.243333,0.669434,0.611053,0.713871
195,0.245000,0.523861,0.489325,0.481340
196,0.245000,0.379101,0.260394,0.356689
197,0.248333,0.484058,0.366849,0.401141
198,0.248333,0.417289,0.406041,0.328987
199,0.248333,0.413992,0.082838,0.266546
200,0.248333,0.661588,0.659774,0.694951
201,0.250000,0.549797,0.482727,0.537044
202,0.250000,0.523409,0.406623,0.558869
203,0.250000,0.416636,0.404336,0.396601
204,0.251667,0.470906,0.249123,0.437495
205,0.251667,0.394416,0.340176,0.346609
206,0.253333,0.358250,0.202413,0.301270
207,0.253333,0.536818,0.457786,0.548873
208,0.253333,0.665178,0.441309,0.686512
209,0.253333,0.504448,0.481406,0.445729
210,0.255000,0.348174,0.133032,0.241956
211,0.255000,0.671371,0.555398,0.792379
212,0.258333,0.622428,0.602483,0.695395
213,0.258333,0.485155,0.577870,0.540201
214,0.258333,0.508162,0.301526,0.453056
215,0.258333,0.526270,0.421486,0.539483
216,0.260000,0.612316,0.684856,0.504489
217,0.260000,0.499083,0.438061,0.496253
218,0.260000,0.585420,0.407282,0.499798
219,0.260000,0.478132,0.385597,0.487056
220,0.263333,0.662373,0.687827,0.751968
221,0.266667,0.612017,0.418814,0.609796
222,0.266667,0.557191,0.366554,0.497565
223,0.268333,0.512394,0.637168,0.500534
224,0.268333,0.449373,0.400441,0.486069
225,0.270000,0.480609,0.304068,0.448063
226,0.270000,0.590135,0.405682,0.497996
227,0.270000,0.493932,0.630652,0.490228
228,0.271667,0.524325,0.395448,0.476922
229,0.273333,0.404484,0.281375,0.306087
230,0.273333,0.455187,0.326667,0.431373
231,0.273333,0.534284,0.442631,0.548401
232,0.275000,0.440662,0.313149,0.454346
233,0.275000,0.531252,0.354783,0.562365
234,0.275000,0.516478,0.409200,0.528494
235,0.275000,0.528525,0.444811,0.550136
236,0.276667,0.582109,0.565655,0.632601
237,0.276667,0.571454,0.569504,0.596490
238,0.276667,0.572761,0.525829,0.669229
239,0.278333,0.641994,0.564620,0.609746
240,0.280000,0.520952,0.428681,0.550739
241,0.280000,0.418930,0.209770,0.364052
242,0.281667,0.618069,0.371889,0.646053
243,0.283333,0.653467,0.880032,0.703438
244,0.283333,0.506747,0.220316,0.442262
245,0.283333,0.569435,0.674240,0.566414
246,0.283333,0.416304,0.290339,0.342700
247,0.283333,0.612511,0.659903,0.715675
248,0.283333,0.564422,0.535488,0.615348
249,0.283333,0.461736,0.380062,0.443038
250,0.283333,0.669526,0.585549,0.727095
251,0.285000,0.485345,0.376050,0.522026
252,0.286667,0.474103,0.354929,0.445544
253,0.286667,0.486681,0.652880,0.513962
254,0.286667,0.480374,0.442701,0.568395
255,0.286667,0.483892,0.457656,0.579378
256,0.286667,0.380017,0.343566,0.371813
257,0.286667,0.605945,0.446659,0.621882
258,0.286667,0.501542,0.421987,0.440764
259,0.288333,0.481566,0.400452,0.497632
260,0.288333,0.528704,0.403901,0.468919
261,0.288333,0.443803,0.346924,0.370022
262,0.290000,0.435831,0.447839,0.375046
263,0.290000,0.674597,0.806740,0.727976
264,0.290000,0.473621,0.437044,0.416235
265,0.291667,0.409466,0.574504,0.280231
266,0.291667,0.508440,0.437876,0.529085
267,0.291667,0.679311,0.796853,0.811742
268,0.291667,0.455995,0.488750,0.409599
269,0.293333,0.459126,0.354464,0.464918
270,0.295000,0.559491,0.507350,0.644700
271,0.295000,0.322383,0.075458,0.135121
272,0.296667,0.532936,0.269217,0.444680
273,0.298333,0.580048,0.506551,0.619429
274,0.298333,0.678407,0.526988,0.766591
275,0.298333,0.526479,0.481503,0.548303
276,0.298333,0.543833,0.476710,0.673159
277,0.300000,0.673089,0.480258,0.758551
278,0.300000,0.412886,0.278471,0.268010
279,0.300000,0.684053,0.460874,0.809959
280,0.300000,0.494171,0.511765,0.510320
281,0.300000,0.491225,0.461349,0.458741
282,0.300000,0.475633,0.298822,0.414315
283,0.300000,0.376043,0.170855,0.252398
284,0.301667,0.451593,0.273444,0.480634
285,0.301667,0.641359,0.499147,0.625760
286,0.301667,0.510570,0.455359,0.497631
287,0.301667,0.640116,0.621806,0.738922
288,0.301667,0.478373,0.480148,0.563691
289,0.303333,0.494363,0.350041,0.506498
290,0.305000,0.576824,0.570637,0.688075
291,0.305000,0.425585,0.077671,0.330973
292,0.305000,0.460740,0.299606,0.332816
293,0.305000,0.438136,0.272819,0.466774
294,0.306667,0.420646,0.459266,0.450847
295,0.306667,0.570164,0.566559,0.687354
296,0.308333,0.480938,0.451751,0.534730
297,0.310000,0.403478,0.310049,0.286650
298,0.310000,0.450121,0.273208,0.359408
299,0.310000,0.461571,0.404682,0.438737
300,0.310000,0.383916,0.255131,0.337286
301,0.311667,0.484694,0.328187,0.496458
302,0.311667,0.486220,0.416653,0.499695
303,0.311667,0.336539,0.122108,0.218920
304,0.313333,0.454158,0.286694,0.422451
305,0.315000,0.474266,0.414993,0.553680
306,0.315000,0.450698,0.261309,0.413334
307,0.316667,0.533562,0.587873,0.461138
308,0.316667,0.594572,0.695083,0.573205
309,0.316667,0.592654,0.481072,0.581321
310,0.316667,0.396775,0.374382,0.379022
311,0.316667,0.442540,0.348944,0.425569
312,0.316667,0.422561,0.295815,0.301629
313,0.316667,0.691362,0.577288,0.796601
314,0.316667,0.556087,0.351462,0.445255
315,0.316667,0.476386,0.311337,0.531336
316,0.316667,0.615943,0.584152,0.655320
317,0.316667,0.494046,0.438506,0.519484
318,0.318333,0.482480,0.337361,0.472736
319,0.320000,0.453390,0.415334,0.387546
320,0.320000,0.440346,0.323472,0.433398
321,0.320000,0.673589,0.575637,0.706405
322,0.323333,0.457559,0.189845,0.380346
323,0.323333,0.370153,0.362499,0.270734
324,0.323333,0.391867,0.445512,0.362405
325,0.323333,0.445911,0.269804,0.460939
326,0.325000,0.465840,0.330759,0.489631
327,0.325000,0.556461,0.591507,0.594172
328,0.326667,0.456622,0.423786,0.546647
329,0.326667,0.566103,0.552739,0.583572
330,0.330000,0.659721,0.256416,0.756090
331,0.330000,0.519453,0.502260,0.531243
332,0.330000,0.465198,0.342795,0.467349
333,0.330000,0.494815,0.454451,0.442220
334,0.330000,0.655501,0.540015,0.679616
335,0.331667,0.565256,0.503341,0.605862
336,0.331667,0.435945,0.251570,0.468586
337,0.331667,0.653031,0.553447,0.701090
338,0.333333,0.530049,0.593425,0.550447
339,0.333333,0.499724,0.406152,0.421815
340,0.333333,0.512663,0.444136,0.575869
341,0.333333,0.420025,0.315792,0.380304
342,0.333333,0.487502,0.475739,0.576779
343,0.333333,0.475827,0.533644,0.337644
344,0.335000,0.593612,0.573353,0.665959
345,0.335000,0.530541,0.363145,0.574726
346,0.335000,0.402436,0.453124,0.315353
347,0.335000,0.587491,0.582539,0.637080
348,0.335000,0.554691,0.511433,0.496944
349,0.335000,0.546624,0.540532,0.518984
350,0.336667,0.479029,0.420521,0.489494
351,0.336667,0.609644,0.852762,0.569616
352,0.336667,0.562789,0.468539,0.423502
353,0.336667,0.621284,0.483092,0.625675
354,0.336667,0.567920,0.544032,0.629481
355,0.338333,0.472598,0.470371,0.407505
356,0.338333,0.659730,0.592767,0.711503
357,0.340000,0.519912,0.278950,0.429080
358,0.340000,0.416013,0.456955,0.452948
359,0.340000,0.573747,0.465260,0.550093
360,0.340000,0.481831,0.329614,0.512650
361,0.340000,0.544310,0.302308,0.432369
362,0.340000,0.500986,0.414222,0.531602
363,0.341667,0.423673,0.241676,0.287714
364,0.343333,0.559816,0.388948,0.530822
365,0.343333,0.405219,0.461435,0.324378
366,0.345000,0.590966,0.599865,0.677312
367,0.345000,0.519613,0.495616,0.539361
368,0.345000,0.543981,0.392718,0.562969
369,0.346667,0.650142,0.467760,0.599736
370,0.346667,0.371786,0.438709,0.240314
371,0.346667,0.479820,0.334852,0.415496
372,0.346667,0.500108,0.404643,0.531207
373,0.348333,0.480537,0.410836,0.457351
374,0.348333,0.595082,0.497186,0.556745
375,0.350000,0.574475,0.332323,0.487947
376,0.350000,0.651438,0.580057,0.613515
377,0.350000,0.578676,0.440678,0.518604
378,0.350000,0.499323,0.417243,0.438350
379,0.350000,0.483966,0.460946,0.565798
380,0.350000,0.414555,0.360314,0.397680
381,0.350000,0.601302,0.546032,0.529548
382,0.350000,0.505645,0.494536,0.459119
383,0.350000,0.592991,0.591271,0.517345
384,0.350000,0.553596,0.520895,0.618587
385,0.350000,0.620778,0.290433,0.606410
386,0.350000,0.558565,0.714615,0.539776
387,0.351667,0.440179,0.249507,0.355847
388,0.351667,0.531842,0.416145,0.496295
389,0.351667,0.570639,0.347478,0.513874
390,0.351667,0.530850,0.525618,0.539849
391,0.353333,0.513702,0.389914,0.442698
392,0.353333,0.478017,0.339901,0.360395
393,0.353333,0.481864,0.422034,0.503831
394,0.353333,0.525878,0.417904,0.498089
395,0.355000,0.632662,0.455477,0.565522
396,0.355000,0.504972,0.367654,0.567857
397,0.355000,0.549715,0.527726,0.560640
398,0.355000,0.449204,0.257694,0.435463
399,0.356667,0.676382,0.842874,0.762410
400,0.356667,0.416402,0.434236,0.313748
401,0.356667,0.545585,0.448355,0.521395
402,0.356667,0.447348,0.396611,0.433041
403,0.358333,0.583363,0.578811,0.612465
404,0.360000,0.571689,0.566752,0.583520
405,0.360000,0.544264,0.392595,0.552221
406,0.360000,0.487899,0.374477,0.508303
407,0.360000,0.509780,0.487610,0.500588
408,0.360000,0.587157,0.551529,0.544636
409,0.361667,0.371647,0.372781,0.298422
410,0.361667,0.427727,0.627385,0.349394
411,0.361667,0.555950,0.477390,0.558681
412,0.361667,0.458353,0.333326,0.501203
413,0.363333,0.489373,0.433034,0.526518
414,0.363333,0.524864,0.650623,0.386013
415,0.363333,0.588122,0.629896,0.581728
416,0.363333,0.588651,0.508435,0.544679
417,0.363333,0.480879,0.449857,0.534702
418,0.363333,0.545080,0.454029,0.666760
419,0.363333,0.414171,0.221329,0.300563
420,0.365000,0.528896,0.506205,0.492210
421,0.365000,0.451522,0.273442,0.480659
422,0.365000,0.535986,0.527384,0.473037
423,0.365000,0.539240,0.368294,0.557826
424,0.366667,0.657792,0.445143,0.633191
425,0.366667,0.487723,0.413738,0.485161
426,0.366667,0.546690,0.410801,0.472738
427,0.366667,0.545514,0.445403,0.521360
428,0.366667,0.513844,0.482445,0.584245
429,0.366667,0.526119,0.453833,0.527145
430,0.366667,0.673396,0.499860,0.719134
431,0.366667,0.649014,0.507121,0.669447
432,0.366667,0.470862,0.235843,0.381649
433,0.366667,0.437968,0.259387,0.360477
434,0.368333,0.542056,0.447857,0.507535
435,0.368333,0.607459,0.406739,0.552471
436,0.370000,0.472618,0.430713,0.407958
437,0.370000,0.515204,0.403740,0.535628
438,0.371667,0.621453,0.822400,0.583342
439,0.373333,0.514606,0.583703,0.661842
440,0.373333,0.417988,0.534635,0.357237
441,0.373333,0.499590,0.498593,0.562106
442,0.373333,0.484059,0.206677,0.386376
443,0.373333,0.525458,0.358238,0.445576
444,0.373333,0.473722,0.488121,0.411912
445,0.375000,0.600128,0.677063,0.626459
446,0.375000,0.586421,0.414649,0.499815
447,0.375000,0.656854,0.518060,0.685328
448,0.375000,0.452167,0.471547,0.385481
449,0.375000,0.412036,0.318151,0.346879
450,0.376667,0.487190,0.588108,0.480431
451,0.376667,0.498808,0.455663,0.471610
452,0.376667,0.682810,0.600745,0.784238
453,0.376667,0.567932,0.508221,0.577054
454,0.376667,0.504287,0.713905,0.488632
455,0.378333,0.425272,0.346412,0.392269
456,0.378333,0.574223,0.462407,0.550068
457,0.378333,0.570181,0.537817,0.603097
458,0.378333,0.483286,0.439108,0.617056
459,0.378333,0.501771,0.697626,0.413705
460,0.378333,0.607808,0.741101,0.629571
461,0.380000,0.594748,0.486852,0.576492
462,0.380000,0.494551,0.344063,0.557583
463,0.380000,0.408205,0.470695,0.317363
464,0.380000,0.535729,0.545659,0.538822
465,0.380000,0.551308,0.672437,0.559650
466,0.380000,0.526845,0.473156,0.589063
467,0.380000,0.601841,0.248050,0.561473
468,0.380000,0.396389,0.248610,0.330713
469,0.381667,0.579603,0.544436,0.574862
470,0.381667,0.563542,0.624611,0.512595
471,0.381667,0.500987,0.414223,0.531604
472,0.381667,0.486322,0.450714,0.518735
473,0.381667,0.480717,0.390048,0.405274
474,0.383333,0.577562,0.512159,0.629088
475,0.383333,0.625279,0.505409,0.557835
476,0.383333,0.423274,0.417905,0.349015
477,0.383333,0.647129,0.693476,0.655280
478,0.383333,0.572716,0.759490,0.454461
479,0.383333,0.605134,0.611523,0.602407
480,0.383333,0.592786,0.597013,0.637370
481,0.383333,0.645986,0.513299,0.635475
482,0.383333,0.673570,0.813011,0.729357
483,0.383333,0.640301,0.495463,0.666259
484,0.383333,0.539464,0.564088,0.576277
485,0.383333,0.534909,0.372666,0.559452
486,0.383333,0.661502,0.613168,0.711771
487,0.385000,0.330550,0.203391,0.193206
488,0.385000,0.489780,0.378804,0.528717
489,0.386667,0.534777,0.370881,0.559428
490,0.386667,0.532670,0.629893,0.459813
491,0.386667,0.484388,0.648284,0.609057
492,0.388333,0.475345,0.396041,0.506403
493,0.388333,0.398973,0.179585,0.219917
494,0.388333,0.664150,0.619974,0.727143
495,0.388333,0.522912,0.388488,0.576970
496,0.388333,0.476263,0.291184,0.445431
497,0.390000,0.468394,0.630058,0.458299
498,0.390000,0.472113,0.432027,0.540650
499,0.391667,0.472428,0.471932,0.409480
500,0.391667,0.461755,0.424077,0.370337
501,0.391667,0.562712,0.480959,0.528275
502,0.391667,0.652309,0.608235,0.635376
503,0.391667,0.492906,0.658105,0.340628
504,0.393333,0.533725,0.361483,0.562885
505,0.393333,0.588654,0.572723,0.567555
506,0.393333,0.492997,0.355529,0.471038
507,0.395000,0.441992,0.243144,0.354251
508,0.395000,0.443870,0.481098,0.471559
509,0.395000,0.458814,0.384492,0.441603
510,0.395000,0.517689,0.450793,0.570856
511,0.395000,0.417468,0.484338,0.328409
512,0.395000,0.538407,0.375624,0.557808
513,0.395000,0.463828,0.406617,0.395830
514,0.395000,0.514142,0.456761,0.480778
515,0.395000,0.499430,0.541891,0.493752
516,0.396667,0.465943,0.414301,0.357110
517,0.398333,0.584830,0.658372,0.657798
518,0.398333,0.476504,0.492261,0.491474
519,0.398333,0.607666,0.762859,0.513579
520,0.400000,0.386976,0.712111,0.303633
521,0.400000,0.361417,0.306984,0.157725
522,0.400000,0.531558,0.476181,0.583439
523,0.400000,0.611462,0.407376,0.564168
524,0.400000,0.605436,0.436744,0.664359
525,0.400000,0.628816,0.526490,0.557029
526,0.400000,0.471817,0.474450,0.384222
527,0.400000,0.601561,0.680396,0.561939
528,0.400000,0.543983,0.467609,0.605976
529,0.400000,0.488647,0.382233,0.588187
530,0.400000,0.649328,0.695221,0.655986
531,0.400000,0.393571,0.230438,0.330617
532,0.400000,0.366747,0.644825,0.252784
533,0.400000,0.615409,0.649298,0.632748
534,0.400000,0.595588,0.566468,0.643356
535,0.400000,0.470943,0.440699,0.388148
536,0.400000,0.642987,0.551909,0.623728
537,0.401667,0.618707,0.590696,0.628022
538,0.401667,0.685075,0.624116,0.715982
539,0.401667,0.595256,0.402784,0.539724
540,0.401667,0.567937,0.508220,0.577055
541,0.401667,0.449982,0.499379,0.508516
542,0.401667,0.533628,0.359559,0.562857
543,0.401667,0.496351,0.480850,0.587075
544,0.401667,0.534773,0.370884,0.559427
545,0.403333,0.607097,0.663463,0.645267
546,0.403333,0.668101,0.430378,0.640109
547,0.403333,0.377719,0.383813,0.314286
548,0.403333,0.304838,0.099940,0.140656
549,0.403333,0.639752,0.636042,0.667370
550,0.403333,0.484037,0.498960,0.472292
551,0.405000,0.500295,0.495483,0.598081
552,0.405000,0.499938,0.620357,0.408746
553,0.405000,0.472944,0.458751,0.440288
554,0.405000,0.567420,0.633147,0.612302
555,0.405000,0.547337,0.452978,0.666563
556,0.406667,0.494002,0.364889,0.458972
557,0.406667,0.600668,0.372171,0.507686
558,0.408333,0.631994,0.490545,0.598136
559,0.408333,0.615387,0.524158,0.649029
560,0.408333,0.647821,0.663902,0.655757
561,0.408333,0.496236,0.528918,0.502061
562,0.410000,0.461935,0.531943,0.460249
563,0.410000,0.583369,0.705798,0.580759
564,0.411667,0.417171,0.338130,0.367586
565,0.411667,0.516821,0.556037,0.524332
566,0.411667,0.524754,0.392531,0.598054
567,0.411667,0.432561,0.311190,0.515420
568,0.413333,0.485423,0.341088,0.483472
569,0.413333,0.686709,0.998043,0.796034
570,0.415000,0.631537,0.803536,0.618910
571,0.415000,0.483129,0.334261,0.482992
572,0.415000,0.426228,0.316801,0.334369
573,0.415000,0.446348,0.432047,0.417599
574,0.415000,0.582409,0.438740,0.548115
575,0.415000,0.440282,0.282944,0.491856
576,0.415000,0.579941,0.536098,0.608515
577,0.415000,0.508714,0.516786,0.545920
578,0.415000,0.589581,0.576917,0.606425
579,0.416667,0.652922,0.346253,0.771889
580,0.416667,0.497486,0.582979,0.589991
581,0.416667,0.615727,0.495133,0.600806
582,0.416667,0.548281,0.754437,0.463148
583,0.416667,0.494793,0.536256,0.369910
584,0.416667,0.673087,0.541044,0.842350
585,0.416667,0.607339,0.666275,0.513085
586,0.416667,0.651587,0.825899,0.642641
587,0.416667,0.623471,0.430580,0.548416
588,0.416667,0.638059,0.486408,0.631290
589,0.416667,0.668810,0.651685,0.733893
590,0.416667,0.579433,0.746385,0.545076
591,0.416667,0.484636,0.357411,0.425955
592,0.416667,0.641590,0.632378,0.687882
593,0.416667,0.519852,0.554420,0.482500
594,0.416667,0.483422,0.715649,0.368875
595,0.416667,0.568458,0.507194,0.547021
596,0.416667,0.545895,0.626976,0.496286
597,0.416667,0.656204,0.730356,0.660735
598,0.416667,0.627458,0.416016,0.575728
599,0.416667,0.561769,0.498383,0.423816
600,0.416667,0.580587,0.605491,0.496955
601,0.418333,0.441980,0.273054,0.474392
602,0.418333,0.601786,0.543020,0.654827
603,0.418333,0.590535,0.595695,0.579555
604,0.418333,0.477656,0.519819,0.551687
605,0.418333,0.611905,0.606150,0.567752
606,0.420000,0.582375,0.765929,0.558614
607,0.420000,0.450297,0.290206,0.460323
608,0.420000,0.559927,0.548286,0.568812
609,0.420000,0.660995,0.719180,0.685800
610,0.420000,0.507836,0.544627,0.535032
611,0.420000,0.454763,0.523055,0.381689
612,0.421667,0.641452,0.657480,0.689206
613,0.421667,0.469808,0.520838,0.428542
614,0.421667,0.454336,0.435296,0.441820
615,0.421667,0.606941,0.492911,0.569486
616,0.421667,0.664290,0.641279,0.764110
617,0.423333,0.483464,0.283115,0.408540
618,0.423333,0.542449,0.478235,0.625586
619,0.425000,0.542228,0.409459,0.463937
620,0.425000,0.498246,0.544568,0.566925
621,0.425000,0.525437,0.542996,0.481175
622,0.425000,0.396328,0.282430,0.298337
623,0.425000,0.572425,0.535630,0.588031
624,0.425000,0.486899,0.561472,0.393923
625,0.425000,0.499087,0.435420,0.599154
626,0.426667,0.477853,0.203494,0.390133
627,0.426667,0.542985,0.386695,0.555115
628,0.426667,0.530889,0.504138,0.503876
629,0.426667,0.485423,0.341088,0.483473
630,0.426667,0.457724,0.286985,0.383314
631,0.428333,0.503631,0.390957,0.371218
632,0.428333,0.451174,0.407578,0.345976
633,0.428333,0.463212,0.482466,0.503744
634,0.428333,0.336511,0.222409,0.188483
