i,target,point,point2,pair
81,0.444917,0.471289,0.231883,0.345612
82,0.446131,0.514104,0.273812,0.367725
83,0.449165,0.439809,0.262481,0.364647
84,0.449924,0.481034,0.220936,0.324380
85,0.450228,0.427842,0.190111,0.280408
86,0.450683,0.534833,0.288409,0.444868
87,0.451442,0.450200,0.212501,0.309123
88,0.452200,0.487010,0.220500,0.376951
89,0.452200,0.390465,0.208593,0.316755
90,0.454249,0.585825,0.456813,0.518834
91,0.455235,0.487281,0.215426,0.253988
92,0.458270,0.511491,0.294080,0.371775
93,0.459788,0.505546,0.283078,0.390067
94,0.460546,0.438813,0.262249,0.362207
95,0.462064,0.437098,0.180276,0.336616
96,0.465099,0.487188,0.382567,0.413710
97,0.465857,0.454719,0.296499,0.389586
98,0.465857,0.530746,0.322219,0.417124
99,0.471775,0.472863,0.217771,0.377485
100,0.472686,0.497213,0.221314,0.420095
101,0.473445,0.550528,0.387326,0.468102
102,0.478528,0.538458,0.370418,0.494718
103,0.479211,0.520239,0.263935,0.440500
104,0.479514,0.451329,0.205297,0.361769
105,0.480273,0.438882,0.195704,0.360445
106,0.481032,0.458508,0.230371,0.384517
107,0.482549,0.441375,0.222836,0.410712
108,0.482549,0.494933,0.216975,0.373445
109,0.483080,0.461216,0.238150,0.380129
110,0.483308,0.542906,0.330013,0.498336
111,0.484825,0.478260,0.258010,0.390049
112,0.484825,0.447221,0.207370,0.362397
113,0.486343,0.539609,0.414037,0.485529
114,0.486798,0.514353,0.263105,0.438880
115,0.487860,0.492222,0.290752,0.397763
116,0.488619,0.486382,0.211974,0.393255
117,0.488619,0.508021,0.243178,0.395971
118,0.489150,0.586412,0.463452,0.509779
119,0.490137,0.352552,0.073762,0.239169
120,0.492033,0.386164,0.121227,0.261393
121,0.494689,0.505342,0.230630,0.386573
122,0.495372,0.507778,0.289116,0.430872
123,0.496206,0.462673,0.193317,0.345993
124,0.496965,0.492431,0.226734,0.395878
125,0.496965,0.477782,0.233933,0.379755
126,0.498483,0.578374,0.353045,0.436414
127,0.498483,0.552987,0.282603,0.440484
128,0.504173,0.575165,0.361080,0.482749
129,0.506070,0.460779,0.198969,0.334388
130,0.506829,0.567814,0.320783,0.369097
131,0.507815,0.537662,0.331730,0.448563
132,0.508346,0.567565,0.368711,0.487201
133,0.509105,0.516218,0.309164,0.434932
134,0.509105,0.550521,0.408546,0.485884
135,0.509863,0.559076,0.353608,0.488239
136,0.509863,0.538537,0.330820,0.422924
137,0.509863,0.529322,0.340687,0.422904
138,0.510546,0.545522,0.387157,0.481883
139,0.511229,0.564416,0.332389,0.435084
140,0.511381,0.461290,0.213843,0.350347
141,0.515175,0.497748,0.233564,0.367115
142,0.515933,0.518922,0.246011,0.360480
143,0.515933,0.507885,0.261084,0.428139
144,0.515933,0.530590,0.290657,0.435099
145,0.518209,0.527138,0.327799,0.430903
146,0.519347,0.642889,0.543958,0.455648
147,0.520486,0.512469,0.287777,0.460027
148,0.520486,0.541406,0.297468,0.448242
149,0.521244,0.516981,0.367048,0.418662
150,0.522003,0.527118,0.328948,0.445392
151,0.522762,0.560900,0.318070,0.456749
152,0.522762,0.528715,0.275895,0.440021
153,0.523520,0.493526,0.274420,0.413874
154,0.523520,0.585441,0.493510,0.526344
155,0.524279,0.544110,0.309234,0.377783
156,0.524279,0.611066,0.463144,0.446812
157,0.525114,0.522407,0.323705,0.453629
158,0.525190,0.482853,0.251567,0.413238
159,0.526555,0.566717,0.373535,0.456158
160,0.528073,0.571640,0.606202,0.540936
161,0.528073,0.521636,0.328560,0.431148
162,0.528832,0.492238,0.236792,0.431382
163,0.528832,0.512741,0.299483,0.371085
164,0.529590,0.518611,0.368359,0.435179
165,0.529590,0.549101,0.396090,0.455296
166,0.531866,0.596209,0.453844,0.525122
167,0.533384,0.495128,0.287682,0.374860
168,0.533384,0.598830,0.399688,0.459150
169,0.533384,0.564790,0.382588,0.494201
170,0.534143,0.531403,0.301752,0.365102
171,0.534598,0.595216,0.453766,0.511184
172,0.534901,0.662563,0.616202,0.505831
173,0.534901,0.486264,0.248001,0.383230
174,0.535660,0.513748,0.320196,0.423564
175,0.536419,0.501532,0.265556,0.385454
176,0.536419,0.541441,0.284029,0.420122
177,0.537026,0.526698,0.206012,0.353691
178,0.538695,0.486728,0.224424,0.268187
179,0.540212,0.598383,0.432595,0.436899
180,0.540971,0.571094,0.387497,0.466475
181,0.540971,0.548660,0.346261,0.506875
182,0.541730,0.532586,0.346220,0.418923
183,0.543247,0.523117,0.304035,0.428080
184,0.543854,0.521881,0.282312,0.419993
185,0.544006,0.538937,0.294284,0.438569
186,0.544006,0.507574,0.253755,0.392720
187,0.544006,0.602362,0.489719,0.456123
188,0.544765,0.512866,0.234914,0.423990
189,0.545448,0.592382,0.459408,0.455773
190,0.546282,0.532960,0.347126,0.433044
191,0.546282,0.498099,0.257975,0.389469
192,0.546282,0.498099,0.257975,0.389469
193,0.548558,0.565995,0.355993,0.486583
194,0.548558,0.620831,0.467256,0.488504
195,0.549317,0.575914,0.356967,0.474633
196,0.549317,0.580846,0.380933,0.490681
197,0.550076,0.492335,0.251662,0.393175
198,0.550455,0.600639,0.502670,0.489925
199,0.552807,0.561977,0.430741,0.464799
200,0.553111,0.560556,0.352574,0.435758
201,0.553869,0.547184,0.355632,0.505939
202,0.553869,0.530675,0.264655,0.424183
203,0.554628,0.507366,0.299015,0.426422
204,0.554628,0.523209,0.314843,0.444268
205,0.554932,0.615852,0.429476,0.481600
206,0.555387,0.564571,0.339533,0.458610
207,0.555387,0.519280,0.309090,0.372050
208,0.556904,0.566024,0.323236,0.450826
209,0.556904,0.607114,0.506059,0.519195
210,0.557663,0.533451,0.323392,0.481679
211,0.558422,0.536598,0.324514,0.438546
212,0.558422,0.552277,0.284772,0.397749
213,0.559181,0.574700,0.375491,0.478547
214,0.559181,0.627706,0.573915,0.483734
215,0.559939,0.615185,0.461953,0.475794
216,0.560698,0.555105,0.339978,0.474083
217,0.560698,0.570023,0.352386,0.420051
218,0.560926,0.510045,0.395529,0.447134
219,0.561457,0.501569,0.205160,0.394927
220,0.561912,0.502325,0.277903,0.441603
221,0.562215,0.548955,0.349820,0.457364
222,0.563733,0.511083,0.307138,0.436495
223,0.564492,0.608817,0.530497,0.540361
224,0.564492,0.543047,0.294148,0.425813
225,0.565250,0.563826,0.359628,0.496158
226,0.565250,0.559646,0.384676,0.464243
227,0.566009,0.525113,0.324720,0.453255
228,0.566009,0.535509,0.362297,0.437168
229,0.566768,0.568416,0.371331,0.492049
230,0.567527,0.584019,0.433975,0.484723
231,0.567982,0.548726,0.377857,0.465427
232,0.568285,0.605432,0.539724,0.471113
233,0.569044,0.589954,0.436069,0.428799
234,0.569044,0.602415,0.482553,0.465627
235,0.569120,0.580104,0.400782,0.498547
236,0.569272,0.605914,0.449792,0.473616
237,0.570486,0.536081,0.386929,0.512599
238,0.570561,0.567830,0.449273,0.463380
239,0.571320,0.549762,0.307950,0.384813
240,0.572079,0.569262,0.417290,0.476542
241,0.572079,0.624189,0.535226,0.478163
242,0.573141,0.523745,0.413001,0.433506
243,0.573596,0.588616,0.399295,0.465709
244,0.574355,0.581918,0.416971,0.435604
245,0.575114,0.557870,0.304743,0.462284
246,0.575114,0.616066,0.517237,0.473674
247,0.576631,0.569243,0.388723,0.454661
248,0.576631,0.560390,0.399780,0.447199
249,0.576631,0.607155,0.499348,0.475121
250,0.576631,0.567925,0.386562,0.510974
251,0.576707,0.558143,0.304356,0.464063
252,0.579666,0.698149,0.659337,0.561233
253,0.580197,0.569979,0.348371,0.436893
254,0.580273,0.570258,0.414930,0.450238
255,0.581942,0.518291,0.337619,0.438460
256,0.582094,0.588143,0.445850,0.490102
257,0.582170,0.599967,0.505579,0.511728
258,0.582398,0.630329,0.571277,0.513222
259,0.584219,0.568530,0.428082,0.432972
260,0.584219,0.648162,0.529839,0.531345
261,0.584522,0.472147,0.252665,0.386775
262,0.584750,0.531550,0.298368,0.438833
263,0.588012,0.580097,0.402363,0.530783
264,0.588012,0.570825,0.377371,0.492921
265,0.588012,0.631217,0.551844,0.479775
266,0.588771,0.591239,0.369361,0.470063
267,0.588771,0.524853,0.432257,0.480240
268,0.590288,0.580007,0.418039,0.491786
269,0.590516,0.538112,0.316921,0.461738
270,0.591047,0.499955,0.297137,0.435165
271,0.591047,0.561515,0.340094,0.439655
272,0.591047,0.556479,0.332586,0.444643
273,0.591806,0.624671,0.515861,0.465432
274,0.591806,0.616919,0.510375,0.509610
275,0.592109,0.561011,0.397689,0.464694
276,0.592109,0.547685,0.377007,0.464662
277,0.592564,0.519033,0.211653,0.409978
278,0.592944,0.596696,0.474264,0.456096
279,0.594082,0.566085,0.402085,0.488797
280,0.594082,0.558840,0.413580,0.472774
281,0.594841,0.577721,0.428513,0.505467
282,0.594841,0.542670,0.380347,0.388079
283,0.595296,0.557900,0.374782,0.453711
284,0.595599,0.550870,0.372419,0.475811
285,0.596358,0.602929,0.389960,0.482652
286,0.597117,0.572352,0.392338,0.481831
287,0.597117,0.504121,0.316668,0.457950
288,0.599393,0.561207,0.421493,0.482524
289,0.600910,0.594650,0.459425,0.489392
290,0.600910,0.603267,0.433146,0.463867
291,0.600910,0.599148,0.499667,0.533639
292,0.600910,0.602597,0.400928,0.486728
293,0.601669,0.574257,0.437336,0.359898
294,0.601669,0.597169,0.464469,0.462533
295,0.602428,0.586460,0.415050,0.491783
296,0.602428,0.587719,0.453564,0.509471
297,0.603187,0.610075,0.409196,0.496349
298,0.603945,0.595913,0.393442,0.466069
299,0.604704,0.601277,0.392852,0.438169
300,0.604704,0.601832,0.425170,0.453514
301,0.606222,0.618108,0.422385,0.444730
302,0.606677,0.515284,0.317788,0.409493
303,0.606980,0.607054,0.535997,0.514494
304,0.607587,0.649324,0.611857,0.537436
305,0.607739,0.576714,0.411032,0.441185
306,0.607739,0.646877,0.560106,0.533449
307,0.607739,0.588864,0.431847,0.505036
308,0.609256,0.573647,0.423438,0.482938
309,0.610774,0.587950,0.428724,0.439178
310,0.610774,0.622046,0.443490,0.515612
311,0.611533,0.576346,0.454962,0.464495
312,0.611533,0.592178,0.450037,0.457929
313,0.611533,0.562330,0.333243,0.392368
314,0.611836,0.656379,0.526970,0.517636
315,0.612291,0.602300,0.458672,0.471993
316,0.613050,0.650445,0.593339,0.563879
317,0.613809,0.588612,0.410895,0.525969
318,0.614568,0.574897,0.384886,0.413786
319,0.614643,0.507509,0.303052,0.425850
320,0.615857,0.652219,0.552207,0.533559
321,0.616085,0.690715,0.587452,0.528363
322,0.616085,0.598540,0.485697,0.476143
323,0.618361,0.521631,0.274502,0.442931
324,0.619879,0.617384,0.612212,0.503821
325,0.619879,0.597686,0.453662,0.518524
326,0.620637,0.613465,0.470315,0.502146
327,0.621548,0.751937,0.568547,0.546402
328,0.622155,0.629520,0.465655,0.478841
329,0.622155,0.623112,0.517352,0.545700
330,0.622914,0.636530,0.539392,0.513139
331,0.622914,0.681741,0.638225,0.556173
332,0.622914,0.661058,0.598144,0.505721
333,0.623672,0.647465,0.550083,0.486632
334,0.623672,0.661652,0.589550,0.531266
335,0.623672,0.586947,0.401065,0.453536
336,0.624431,0.581025,0.406702,0.431508
337,0.624431,0.728226,0.604699,0.531888
338,0.624431,0.620292,0.520908,0.525539
339,0.624886,0.701125,0.733655,0.602895
340,0.625190,0.575479,0.469212,0.527048
341,0.625948,0.602572,0.352662,0.443342
342,0.627466,0.637256,0.435498,0.465872
343,0.627921,0.600383,0.460641,0.510302
344,0.628983,0.633565,0.552374,0.557368
345,0.629742,0.605614,0.456154,0.562361
346,0.629742,0.636023,0.486241,0.475757
347,0.631259,0.566835,0.406497,0.493620
348,0.632018,0.673149,0.613623,0.582696
349,0.632018,0.621764,0.522380,0.533511
350,0.632018,0.654657,0.562201,0.515190
351,0.632018,0.538851,0.374541,0.483475
352,0.632777,0.645438,0.518867,0.510135
353,0.634294,0.546264,0.351278,0.456928
354,0.634294,0.564614,0.362778,0.485112
355,0.634370,0.649389,0.638762,0.542472
356,0.635053,0.624251,0.496439,0.540218
357,0.635508,0.640746,0.509831,0.488922
358,0.635812,0.591060,0.463239,0.480823
359,0.636571,0.608227,0.436752,0.457737
360,0.636571,0.624675,0.537946,0.547191
361,0.637329,0.605761,0.491667,0.475218
362,0.637329,0.641801,0.577714,0.571198
363,0.638088,0.604963,0.455781,0.471155
364,0.638088,0.612252,0.453096,0.494158
365,0.638847,0.656895,0.449851,0.459475
366,0.638847,0.642788,0.470549,0.522190
367,0.638847,0.594718,0.421719,0.504986
368,0.638847,0.652176,0.486258,0.529328
369,0.639605,0.685115,0.636945,0.530717
370,0.641123,0.653061,0.550924,0.511851
371,0.641123,0.588018,0.444940,0.437965
372,0.641882,0.682357,0.602883,0.485726
373,0.642640,0.727265,0.751313,0.600149
374,0.642868,0.651069,0.523221,0.517970
375,0.643399,0.620025,0.492622,0.511773
376,0.644158,0.583697,0.402349,0.491116
377,0.644158,0.612163,0.509054,0.531492
378,0.644917,0.682959,0.648056,0.550696
379,0.644917,0.614426,0.466526,0.557008
380,0.644917,0.586269,0.418232,0.431674
381,0.645599,0.673312,0.668877,0.526877
382,0.645675,0.590604,0.419414,0.506796
383,0.646206,0.683603,0.649316,0.548990
384,0.646282,0.660569,0.601026,0.532096
385,0.646434,0.663829,0.603198,0.553654
386,0.646434,0.608136,0.430077,0.501204
387,0.648710,0.638978,0.548301,0.524749
388,0.649469,0.633469,0.543522,0.487949
389,0.649469,0.658143,0.565362,0.517786
390,0.649469,0.679974,0.692896,0.520353
391,0.650228,0.646310,0.540790,0.584576
392,0.650228,0.701847,0.716063,0.587343
393,0.650228,0.701652,0.641388,0.540560
394,0.650379,0.637553,0.566957,0.536510
395,0.651745,0.638135,0.520316,0.551394
396,0.651745,0.644157,0.489215,0.483980
397,0.651745,0.651824,0.567993,0.527182
398,0.652504,0.702614,0.676179,0.565528
399,0.652504,0.649882,0.577471,0.530194
400,0.652504,0.613172,0.513216,0.488521
401,0.654021,0.599290,0.415968,0.469536
402,0.655539,0.649419,0.508791,0.522841
403,0.657056,0.592669,0.403292,0.442722
404,0.657815,0.587376,0.487323,0.517302
405,0.657967,0.639899,0.585419,0.520229
406,0.658574,0.727909,0.753053,0.596727
407,0.658574,0.680532,0.624800,0.543120
408,0.660850,0.683402,0.629062,0.561860
409,0.660850,0.616635,0.521136,0.498917
410,0.661760,0.662437,0.564260,0.540786
411,0.662898,0.670219,0.572377,0.518483
412,0.663126,0.600106,0.461231,0.520089
413,0.663126,0.667602,0.609562,0.539143
414,0.664416,0.712295,0.713648,0.586869
415,0.665326,0.684395,0.640325,0.546746
416,0.666161,0.716898,0.738350,0.619981
417,0.666161,0.651215,0.571779,0.522991
418,0.666161,0.676096,0.652054,0.594240
419,0.667678,0.688816,0.680190,0.606641
420,0.667678,0.667762,0.613820,0.548734
421,0.669196,0.768208,0.805542,0.646460
422,0.669196,0.769756,0.806335,0.645865
423,0.669954,0.677415,0.657243,0.593185
424,0.669954,0.681317,0.627557,0.541214
425,0.669954,0.671607,0.637605,0.580500
426,0.670258,0.707370,0.691519,0.584361
427,0.672231,0.698425,0.678845,0.550238
428,0.672231,0.742067,0.787894,0.566739
429,0.672231,0.673761,0.596892,0.533177
430,0.672989,0.671474,0.604709,0.574926
431,0.672989,0.695194,0.650875,0.640848
432,0.672989,0.687365,0.625533,0.614894
433,0.672989,0.661309,0.549918,0.532675
434,0.675266,0.662122,0.550285,0.510109
435,0.675266,0.745308,0.707486,0.578681
436,0.675873,0.698939,0.712273,0.590289
437,0.676783,0.605969,0.203780,0.386260
438,0.676783,0.677436,0.608117,0.600799
439,0.676783,0.662874,0.642446,0.601560
440,0.676783,0.713747,0.648172,0.599654
441,0.677086,0.707964,0.668595,0.551465
442,0.677542,0.647688,0.558259,0.506754
443,0.677542,0.747130,0.725230,0.587035
444,0.677542,0.660680,0.561511,0.500390
445,0.678452,0.668486,0.596860,0.540481
446,0.679287,0.653518,0.546779,0.522692
447,0.679818,0.640845,0.524766,0.586467
448,0.679818,0.651515,0.528308,0.497890
449,0.680577,0.630767,0.289736,0.432325
450,0.681335,0.622218,0.506045,0.542210
451,0.681563,0.660111,0.575292,0.529127
452,0.681639,0.735958,0.755301,0.604729
453,0.682094,0.721343,0.728374,0.580976
454,0.682853,0.642647,0.536827,0.489673
455,0.683384,0.652436,0.598299,0.540899
456,0.683612,0.701119,0.671646,0.599744
457,0.683612,0.627985,0.503043,0.496174
458,0.684294,0.713829,0.660072,0.553902
459,0.684370,0.676506,0.585867,0.523357
460,0.684370,0.686849,0.778531,0.584015
461,0.684370,0.669303,0.585400,0.538006
462,0.685129,0.708757,0.716845,0.585518
463,0.685129,0.695163,0.582208,0.577488
464,0.685584,0.703135,0.672723,0.578454
465,0.685888,0.706932,0.691840,0.651257
466,0.686646,0.675217,0.621655,0.544193
467,0.686646,0.672530,0.577763,0.545230
468,0.686646,0.686530,0.587413,0.520835
469,0.686646,0.705911,0.590314,0.578511
470,0.687405,0.644406,0.552295,0.456025
471,0.687405,0.755883,0.751222,0.637044
472,0.687405,0.685394,0.642460,0.608055
473,0.687405,0.685394,0.642460,0.608055
474,0.688164,0.718356,0.665266,0.588810
475,0.688695,0.646710,0.520250,0.504345
476,0.688695,0.731294,0.751199,0.654022
477,0.689074,0.715228,0.539874,0.523164
478,0.689681,0.659742,0.741640,0.523464
479,0.689681,0.755138,0.881278,0.661629
480,0.691199,0.708425,0.684808,0.575336
481,0.691654,0.675238,0.595280,0.541170
482,0.691958,0.695123,0.629869,0.558157
483,0.692109,0.644175,0.623601,0.534165
484,0.692868,0.668486,0.596860,0.540481
485,0.693475,0.772148,0.797970,0.644337
486,0.693475,0.653847,0.661612,0.553725
487,0.693475,0.696253,0.648961,0.593803
488,0.694082,0.700192,0.681166,0.567432
489,0.694992,0.706760,0.683944,0.574899
490,0.695751,0.659173,0.535192,0.561431
491,0.696510,0.751646,0.746939,0.627948
492,0.696510,0.723557,0.777693,0.602321
493,0.696510,0.657340,0.672973,0.570657
494,0.697269,0.717618,0.636003,0.557352
495,0.697269,0.752593,0.798154,0.642108
496,0.698027,0.755162,0.782540,0.638458
497,0.698027,0.751998,0.769853,0.702608
498,0.698786,0.767707,0.762469,0.616161
499,0.698786,0.671139,0.613409,0.548746
500,0.698786,0.705355,0.693630,0.606335
501,0.698786,0.687383,0.593399,0.535321
502,0.698786,0.703126,0.681762,0.578247
503,0.699545,0.725741,0.715496,0.607367
504,0.699545,0.748597,0.724407,0.627858
505,0.700303,0.661108,0.542153,0.558500
506,0.700303,0.753159,0.765364,0.625299
507,0.700379,0.642463,0.570000,0.521646
508,0.701062,0.690231,0.631081,0.616744
509,0.701062,0.684794,0.665119,0.569647
510,0.701366,0.649766,0.584743,0.533100
511,0.701821,0.724021,0.797809,0.638017
512,0.701821,0.745081,0.781726,0.629874
513,0.701821,0.735894,0.753861,0.599679
514,0.701821,0.664611,0.633313,0.533658
515,0.702580,0.765847,0.777503,0.521590
516,0.702580,0.680086,0.676869,0.579442
517,0.702580,0.667222,0.547133,0.494364
518,0.703338,0.706209,0.692398,0.584047
519,0.703338,0.748066,0.754200,0.701682
520,0.703338,0.786849,0.858369,0.688904
521,0.703945,0.669568,0.601154,0.537540
522,0.703945,0.669568,0.601154,0.537540
523,0.704097,0.743207,0.757603,0.602535
524,0.704856,0.699497,0.702156,0.600112
525,0.705615,0.597667,0.336131,0.437597
526,0.706373,0.682103,0.640550,0.553164
527,0.706373,0.701964,0.629547,0.570391
528,0.707132,0.622829,0.443145,0.421152
529,0.707132,0.712116,0.655540,0.554139
530,0.707663,0.803080,0.843800,0.729112
531,0.709181,0.675835,0.644962,0.562694
532,0.709408,0.772727,0.820020,0.654614
533,0.710167,0.785806,0.898924,0.644653
534,0.710167,0.660432,0.591854,0.545160
535,0.710926,0.613935,0.469363,0.506980
536,0.710926,0.746569,0.753631,0.629089
537,0.711684,0.692275,0.623389,0.552223
538,0.711684,0.798536,0.780910,0.616740
539,0.711684,0.707537,0.655486,0.554471
540,0.711836,0.685226,0.549396,0.538491
541,0.712443,0.660685,0.564118,0.501112
542,0.712443,0.781938,0.816738,0.671204
543,0.712443,0.740122,0.768311,0.647938
544,0.712443,0.733497,0.739237,0.609861
545,0.713961,0.756342,0.818658,0.660206
546,0.713961,0.754063,0.765165,0.624339
547,0.714719,0.743525,0.793064,0.662103
548,0.714719,0.714765,0.703887,0.600389
549,0.715478,0.725733,0.793103,0.636770
550,0.715630,0.739646,0.733916,0.629180
551,0.716237,0.755465,0.755325,0.638053
552,0.716692,0.697934,0.457758,0.518107
553,0.717147,0.733497,0.739237,0.609861
554,0.718513,0.662247,0.558624,0.557992
555,0.719272,0.790295,0.782980,0.646059
556,0.719954,0.651641,0.538538,0.534149
557,0.720030,0.692092,0.641636,0.578543
558,0.721548,0.715040,0.692539,0.586480
559,0.721548,0.727778,0.688415,0.622387
560,0.721548,0.636878,0.606653,0.519491
561,0.721548,0.726729,0.760078,0.673270
562,0.722003,0.670966,0.679179,0.558028
563,0.722307,0.709833,0.621723,0.550017
564,0.722534,0.712199,0.724913,0.595106
565,0.723824,0.733262,0.727527,0.601694
566,0.723824,0.636304,0.591040,0.536648
567,0.724583,0.717336,0.682420,0.576594
568,0.724583,0.691520,0.705583,0.585308
569,0.724583,0.751547,0.723825,0.609081
570,0.726100,0.764379,0.806345,0.721540
571,0.726100,0.723103,0.713472,0.641272
572,0.727162,0.681434,0.652880,0.560433
573,0.728376,0.703922,0.746682,0.594196
574,0.728376,0.714497,0.692059,0.602005
575,0.728376,0.723783,0.694084,0.653921
576,0.728376,0.818631,0.876406,0.733262
577,0.728756,0.760134,0.701005,0.597292
578,0.729135,0.751456,0.589451,0.567802
579,0.729135,0.693920,0.673056,0.622619
580,0.729135,0.716108,0.764362,0.620365
581,0.729818,0.659556,0.492120,0.530816
582,0.729894,0.721920,0.714260,0.602237
583,0.730653,0.820927,0.876753,0.738424
584,0.731411,0.758613,0.768042,0.631007
585,0.731411,0.762319,0.797142,0.636307
586,0.731411,0.812443,0.890629,0.743393
587,0.731411,0.729963,0.824104,0.658494
588,0.731411,0.812443,0.890629,0.743393
589,0.731411,0.735579,0.700477,0.606828
590,0.732170,0.706371,0.650858,0.572160
591,0.732398,0.815210,0.821842,0.703052
592,0.732929,0.750878,0.705773,0.644152
593,0.732929,0.695819,0.614926,0.541282
594,0.732929,0.729479,0.720800,0.661317
595,0.733687,0.663669,0.620937,0.549156
596,0.734446,0.782216,0.834105,0.666315
597,0.734446,0.833079,0.900605,0.762483
598,0.734446,0.780797,0.819267,0.660522
599,0.734446,0.633953,0.599519,0.532546
600,0.735205,0.719449,0.705597,0.587207
601,0.735964,0.732702,0.737311,0.638911
602,0.736722,0.773183,0.821856,0.655047
603,0.738240,0.760966,0.790933,0.634430
604,0.738240,0.791641,0.858388,0.746100
605,0.739757,0.823646,0.889645,0.731789
606,0.739757,0.753660,0.821536,0.662552
607,0.739757,0.769908,0.798278,0.636588
608,0.741275,0.680187,0.634782,0.562669
609,0.741502,0.770838,0.819181,0.662954
610,0.742033,0.783221,0.834205,0.684278
611,0.742792,0.730222,0.694630,0.592865
612,0.743020,0.735449,0.730161,0.608635
613,0.743323,0.753374,0.782639,0.630088
614,0.743551,0.831587,0.876771,0.732030
615,0.743551,0.749334,0.762139,0.622795
616,0.744310,0.727488,0.659185,0.570389
617,0.745068,0.764718,0.824480,0.667607
618,0.745827,0.756447,0.733840,0.604449
619,0.747344,0.776225,0.821354,0.658896
620,0.747344,0.844594,0.884697,0.783387
621,0.747951,0.790983,0.858660,0.715132
622,0.748103,0.773356,0.794433,0.650793
623,0.748103,0.724650,0.523623,0.529752
624,0.748103,0.729811,0.644193,0.630464
625,0.748862,0.713897,0.663053,0.610481
626,0.749621,0.745961,0.772723,0.642579
627,0.750379,0.701110,0.834361,0.601981
628,0.750531,0.711881,0.711266,0.589798
629,0.751138,0.747250,0.784258,0.624912
630,0.752656,0.739897,0.763281,0.676461
631,0.754097,0.691775,0.653407,0.566683
632,0.754173,0.714447,0.722363,0.579694
633,0.754173,0.755974,0.756113,0.620384
634,0.755690,0.765653,0.759033,0.661096
